player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,average,percentage
1474,0,9.97395656852586,1191,8.988941701395422,-0.14029718224814322,0.41806955996553274,0.2606230958783426,1.517034006610193,1.517034006610193,0.0,1.7845958376983566,0.9070249757515787,12.9946560343046,6,36,1098
679,0,8.331300562590807,919,8.73797269007193,-0.3910272261199907,-0.4141573617808448,-0.4139747311161805,1.1554668115537057,1.1554668115537057,0.0,0.7469783328659291,1.5353105554365647,8.093334200452528,19,0,861
1110,0,7.594152992060394,1175,6.935041656584266,0.0029771285357696187,0.2433141270584373,0.20331746824989577,1.5065537980578312,1.5065537980578312,0.0,1.7677240083514878,0.9070249757515787,7.113069833682114,6,565,1076
886,0,7.312034786054928,1056,7.12974809358083,-0.3552086484240125,-0.3750512509205157,-0.3757709793638826,1.496073589505469,1.496073589505469,0.0,1.750852179004619,0.9070249757515787,6.1328054669117,6,54,980
49,0,6.675752057994212,1253,5.484857999213754,-0.14029718224814322,-0.16363383908186183,-0.21189699158428907,0.9249022234017429,0.9249022234017429,0.0,1.1603381518642133,0.4532631682013112,8.093334200452528,18,18,1163
1419,0,6.506632810845774,1071,6.299717081319504,3.0833748103898957,4.714853490744186,4.7545907362144355,1.1554668115537057,1.1554668115537057,0.0,0.7469783328659291,1.5353105554365647,7.4398246226055855,19,562,995
777,0,5.683029661055622,981,5.833812392792012,-0.3910272261199907,-0.3713850530273599,-0.36873344614635406,0.8096199293257614,0.8096199293257614,0.0,0.6963628448253228,0.8372154668976914,4.825786311217814,13,0,891
345,0,5.617808785473714,896,5.955187834036623,-0.31939007072803427,-0.33716720602457195,-0.3415886751644582,1.1554668115537057,1.1554668115537057,0.0,0.7469783328659291,1.5353105554365647,3.5187671555239284,19,381,835
493,0,5.461582036986815,1092,5.213027583926344,-0.3910272261199907,-0.4141573617808448,-0.4139747311161805,0.9458626405064667,0.9458626405064667,0.0,1.1940818105579507,0.4532631682013112,4.825786311217814,18,0,1018
1444,0,5.3205229339840825,951,5.795250403646588,-0.3910272261199907,-0.3982705042438361,-0.40693719789865196,0.2908496059838449,0.2908496059838449,0.0,-0.1219208784978109,0.8139456306130624,3.8455219444473996,1,0,796
847,0,4.923889004573171,1062,4.770512954388699,-0.24775291533607785,-0.2919507653423165,-0.2973527520828501,0.8096199293257614,0.8096199293257614,0.0,0.6963628448253228,0.8372154668976914,6.786315044758643,13,179,989
933,0,4.9003791540727155,906,5.167511793459615,-0.3910272261199907,-0.4141573617808448,-0.4139747311161805,0.2908496059838449,0.2908496059838449,0.0,-0.1219208784978109,0.8139456306130624,2.5385027887535143,1,0,848
844,0,4.8199906330066415,871,5.236417642916191,1.6148131248547892,1.8686618596908633,1.8621645838101986,1.33887046122004,1.33887046122004,0.0,1.9617500458404782,0.2671044779242783,2.8652575776769855,0,89,801
1150,0,4.813165192538768,1145,4.9601620813334035,-0.3910272261199907,-0.4141573617808448,-0.4139747311161805,1.33887046122004,1.33887046122004,0.0,1.9617500458404782,0.2671044779242783,5.152541100141285,0,0,887
374,0,4.7934472534093535,1138,4.39690417430763,-0.3910272261199907,-0.4141573617808448,-0.4139747311161805,1.1921475414869727,1.1921475414869727,0.0,1.2362613839251224,0.9419297301785224,3.5187671555239284,4,0,1064
1525,0,4.728984760101652,1068,4.567588388557865,3.1550119657818523,3.787305423775757,3.6356229546273946,1.517034006610193,1.517034006610193,0.0,1.7845958376983566,0.9070249757515787,6.1328054669117,6,468,994
1177,0,4.62660315308354,1166,4.243288381482419,-0.3910272261199907,-0.4141573617808448,-0.4139747311161805,1.5065537980578312,1.5065537980578312,0.0,1.7677240083514878,0.9070249757515787,3.1920123666004567,6,0,1063
1076,0,4.571999629340547,1218,3.9272065032412438,-0.3910272261199907,-0.4141573617808448,-0.4139747311161805,0.9458626405064667,0.9458626405064667,0.0,1.1940818105579507,0.4532631682013112,5.806050677988228,18,0,1125
314,0,4.5431811029206335,1219,3.895598315417126,-0.3910272261199907,-0.40438083406576253,-0.4079425597868703,1.33887046122004,1.33887046122004,0.0,1.9617500458404782,0.2671044779242783,4.825786311217814,0,0,1128
1505,0,4.436249202257271,791,5.078376703795604,-0.3910272261199907,-0.4141573617808448,-0.4139747311161805,1.1659470201060678,1.1659470201060678,0.0,0.7469783328659291,1.5585803917211938,3.1920123666004567,19,0,706
241,0,4.399088470821067,1094,4.186393643399007,3.620653475829569,3.947396065110229,4.127244917966175,0.7205381566306849,0.7205381566306849,0.0,0.13959247637865455,1.4073264558711045,3.8455219444473996,23,433,1017
1287,0,4.398330088546858,1047,4.295757973270454,0.7193486824553338,1.3211763076462566,1.1393093861811938,1.4908334852292882,1.4908334852292882,0.0,1.750852179004619,0.8953900576092642,4.825786311217814,6,229,970
907,0,4.336901124335991,852,4.763559153067393,4.695210806708915,5.795159803260776,6.928183138542541,0.9353824319541049,0.9353824319541049,0.0,0.6626191861315854,1.1629931748824989,5.806050677988228,15,390,780
1476,0,3.837127205632759,21,3.0168906939066593,1.6864502802467456,2.131406042033699,2.0742959422242735,1.4908334852292882,1.4908334852292882,0.0,1.750852179004619,0.8953900576092642,4.4990315222943424,6,568,1175
205,0,3.8121005905838867,1100,3.6041708236787624,-0.3910272261199907,-0.4141573617808448,-0.4139747311161805,0.9039418062970189,0.9039418062970189,0.0,0.6288755274378479,1.1397233385978698,3.8455219444473996,15,0,1025
